,Channel,Watch time,Stream time,Hours streamed in 2020,Daily streamtime (hours),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
101,GMHikaru,1039432935,105975,1766.25,4.839041095890411,49923,9807,892314,668655,46518721,True,False,English
102,Stray228,1026501000,101955,1699.25,4.655479452054794,34344,10067,874130,205702,26335363,True,False,Russian
103,괴물쥐123 (tmxk319),1004775315,127710,2128.5,5.831506849315068,71933,7867,562769,377402,22513535,True,False,Korean
104,AdmiralBulldog,1004520480,159075,2651.25,7.263698630136986,16681,6314,740367,85357,17277809,True,True,English
105,tommyinnit,995352225,34665,577.75,1.582876712328767,305847,28713,3313576,2473446,21866935,True,False,English
106,coscu,989782665,85155,1419.25,3.888356164383562,393619,11622,2516235,1535943,30627917,True,False,Spanish
107,Nightblue3,985917405,133620,2227.0,6.101369863013699,90231,7378,2755335,232317,27630713,True,False,English
108,SmiteGame,974227005,359085,5984.75,16.396575342465752,18736,2712,592695,96419,13504274,True,False,English
109,Rakin,971366190,162840,2714.0,7.435616438356164,51854,5964,1394112,595103,29521851,True,False,Portuguese
110,SypherPK,969252435,138525,2308.75,6.325342465753424,88097,6996,4269622,1431808,23659664,True,False,English
111,ZanoXVII,959177865,100365,1672.75,4.582876712328767,48643,9556,912692,544765,9513109,True,False,Italian
112,TeePee,950267505,176310,2938.5,8.050684931506849,78741,5389,601236,261856,21355753,True,True,English
113,Brunenger,939463740,193650,3227.5,8.842465753424657,151531,4850,965073,894450,22947817,True,False,Spanish
114,uzra,925532895,195825,3263.75,8.941780821917808,14181,4725,205512,42313,23633563,True,False,Chinese
115,aceu,924852120,116085,1934.75,5.300684931506849,26141,7966,1250801,954506,23419703,True,True,English
116,ybicanoooobov,923851545,123375,2056.25,5.633561643835616,16013,7487,569117,104714,17387282,True,False,Russian
117,cloakzy,922459575,105810,1763.5,4.831506849315068,39439,8717,2401929,647428,16417106,True,False,English
118,Hiko,921643320,92235,1537.25,4.211643835616439,41644,9991,1214057,673562,22565527,True,False,English
119,LPL,899691960,48060,801.0,2.1945205479452055,146577,18719,584375,301490,32720894,True,False,English
120,Kamet0,894466290,160455,2674.25,7.326712328767123,42206,5574,737934,296481,21703913,True,False,French
121,TSM_ImperialHal,894199740,144150,2402.5,6.582191780821918,25232,6202,537215,452355,16757512,True,False,English
122,FolagorLives,891660630,130620,2177.0,5.964383561643835,57813,6825,1060600,525343,17054409,True,False,Spanish
123,Vader,890630910,163350,2722.5,7.458904109589041,11559,5451,427841,35103,8969884,True,False,English
124,Elajjaz,885370155,155355,2589.25,7.093835616438356,13080,5698,361304,39757,16328030,True,False,English
125,ESL_DOTA2,870984390,226620,3777.0,10.347945205479451,99858,3842,381164,120314,24521275,True,False,English
126,HusKerrs,868831200,142515,2375.25,6.507534246575342,39433,6095,620213,496346,13059327,True,False,English
127,EsfandTV,857531970,193125,3218.75,8.818493150684931,39537,4439,669192,289508,17535582,True,False,English
128,KendineMuzisyen,855119265,64170,1069.5,2.93013698630137,69962,13325,1769064,710499,26825268,True,False,Turkish
129,moistcr1tikal,851621340,118815,1980.25,5.425342465753425,54989,7167,2371091,1583529,17272688,True,False,English
130,Agraelus,844338105,159525,2658.75,7.284246575342466,54289,5292,487506,158633,24773823,True,True,Czech
131,bratishkinoff,838431420,64140,1069.0,2.9287671232876713,68818,13071,1427597,567197,33267838,True,True,Russian
132,Scarra,838004310,142350,2372.5,6.5,27421,5886,1415996,389400,17916901,True,False,English
133,x2Twins,837094125,138255,2304.25,6.313013698630137,31874,6054,1983285,1504087,23505014,True,False,English
134,Jinnytty,834375705,157275,2621.25,7.181506849315069,18813,5304,528497,303311,18598018,True,False,English
135,SolaryHS,823509585,472875,7881.25,21.59246575342466,7753,1741,153430,25703,11792749,True,False,French
136,Domingo,823251660,69855,1164.25,3.1897260273972603,72458,11784,958417,272630,25762681,True,False,French
137,allkeyshop_tv,820867470,490035,8167.25,22.376027397260273,6075,1674,73791,21888,51906210,True,False,English
138,Insomniac,816263670,405495,6758.25,18.515753424657536,58549,2012,428511,400619,115650258,True,False,English
139,따효니 (ddahyoni),814193745,157890,2631.5,7.2095890410958905,22514,5155,337177,50059,21117784,True,False,Korean
140,MYM_ALKAPONE,803965320,111015,1850.25,5.0691780821917805,26221,7241,895138,193513,11161581,True,False,Spanish
141,침착맨 (zilioner),800185215,100485,1674.75,4.588356164383562,43164,7962,512978,132055,25853345,True,False,Korean
142,Squeezie,798580650,35505,591.75,1.6212328767123287,117304,22491,2572524,981107,22975890,True,False,French
143,POW3Rtv,790201545,184170,3069.5,8.40958904109589,34327,4290,1355136,599508,28089957,True,False,Italian
